RQ,role,comparison,metric,cluster_level,observed_diff,bootstrap_mean,ci_low,ci_high,excludes_zero,n_seed_pairs,p_perm,n_permutations,p_holm,significant_holm
RQ1,primary,dual_csd_vs_dual_no_distill,QWK,record_eye(DRTiD),-0.0024001848466071564,-0.002640332077487386,-0.03362914915388325,0.02849006988578338,False,5,0.8003199680031997,10000.0,0.8003199680031997,False
RQ1,primary,dual_csd_vs_dual_no_distill,Accuracy,record_eye(DRTiD),0.024,0.023810254545454546,-0.010909090909090901,0.0589090909090909,False,5,,,,
RQ1,primary,dual_csd_vs_dual_no_distill,MacroF1,record_eye(DRTiD),0.0007153167388282311,0.0004589217996411702,-0.03433797871090916,0.03619111594526469,False,5,,,,
RQ1,primary,dual_csd_vs_dual_no_distill,MAE,record_eye(DRTiD),-0.02036363636363636,-0.02007265454545454,-0.08072727272727269,0.03709090909090906,False,5,,,,
RQ1,primary,dual_csd_vs_dual_no_distill,SevereErrorRate,record_eye(DRTiD),0.007636363636363636,0.007705781818181819,-0.02000000000000001,0.03381818181818182,False,5,,,,
RQ1,primary,dual_csd_vs_dual_logitkd,QWK,record_eye(DRTiD),0.007663242263181891,0.00761979881070881,-0.03044925420813249,0.046276995464066606,False,5,0.36396360363963604,10000.0,0.7279272072792721,False
RQ1,primary,dual_csd_vs_dual_logitkd,Accuracy,record_eye(DRTiD),-0.0029090909090908833,-0.003119927272727273,-0.03454545454545457,0.028000000000000014,False,5,,,,
RQ1,primary,dual_csd_vs_dual_logitkd,MacroF1,record_eye(DRTiD),-0.022652251412425627,-0.022972589244311774,-0.059500680136991384,0.012623848088039333,False,5,,,,
RQ1,primary,dual_csd_vs_dual_logitkd,MAE,record_eye(DRTiD),0.012727272727272743,0.013014836363636362,-0.04472727272727273,0.07200000000000002,False,5,,,,
RQ1,primary,dual_csd_vs_dual_logitkd,SevereErrorRate,record_eye(DRTiD),0.00945454545454547,0.009495745454545453,-0.014909090909090922,0.03454545454545453,False,5,,,,
RQ1,primary,dual_csd_vs_dual_featkd,QWK,record_eye(DRTiD),-0.01429985840908372,-0.014394289178842772,-0.044514112025375356,0.01525470351198954,False,5,0.16498350164983502,10000.0,0.4949505049495051,False
RQ1,primary,dual_csd_vs_dual_featkd,Accuracy,record_eye(DRTiD),-0.0065454545454545435,-0.006461163636363636,-0.04,0.026181818181818174,False,5,,,,
RQ1,primary,dual_csd_vs_dual_featkd,MacroF1,record_eye(DRTiD),-0.007267324998140545,-0.0073208738868383565,-0.03593186662293657,0.02210694537003054,False,5,,,,
RQ1,primary,dual_csd_vs_dual_featkd,MAE,record_eye(DRTiD),0.020000000000000018,0.01985047272727273,-0.02836363636363639,0.06981818181818181,False,5,,,,
RQ1,primary,dual_csd_vs_dual_featkd,SevereErrorRate,record_eye(DRTiD),0.01854545454545454,0.018479236363636364,-0.002181818181818185,0.03963636363636362,False,5,,,,
RQ2,primary,ptq_int8_vs_best_fp32,QWK,record_eye(DRTiD),-0.01640369694171062,-0.01627630588219018,-0.03601524125047689,0.002276990048815999,False,5,0.008099190080991902,10000.0,0.024297570242975707,True
RQ2,primary,ptq_int8_vs_best_fp32,Accuracy,record_eye(DRTiD),0.007999999999999997,0.008083709090909092,-0.010909090909090913,0.026909090909090928,False,5,,,,
RQ2,primary,ptq_int8_vs_best_fp32,MacroF1,record_eye(DRTiD),0.018245005248285106,0.018200750091817593,-0.008665627421531453,0.044610178279732654,False,5,,,,
RQ2,primary,ptq_int8_vs_best_fp32,MAE,record_eye(DRTiD),-0.004727272727272735,-0.00491850909090909,-0.032727272727272716,0.02254545454545447,False,5,,,,
RQ2,primary,ptq_int8_vs_best_fp32,SevereErrorRate,record_eye(DRTiD),-0.0010909090909090868,-0.0011923272727272728,-0.016727272727272723,0.014181818181818174,False,5,,,,
